Midpoint Depth,Age (CRS),Year (CRS),Error (CRS)
[cm],[y],[y],[y]
(midpointdepth),(crsage),(crsyear),(crserr)
0,0,2017.56,0
0.5,3.0018,2014.56,0.3502
1.5,10.0006,2007.56,0.8338
2.5,16.4145,2001.15,1.108
3.5,24.251,1993.31,1.3839
4.5,36.9841,1980.58,1.7177
10.5,48.8604,1968.7,1.948
14.5,55.9984,1961.56,1.9733
18.5,60.2717,1957.29,1.941
22.5,64.2118,1953.35,1.9025
25.5,67.8277,1949.73,1.6645
26.5,69.0207,1948.54,1.4426
28.5,69.1825,1948.38,1.3163
