Midpoint Depth,Age (CRS),Year (CRS),Error (CRS)
[cm],[y],[y],[y]
(midpointdepth),(crsage),(crsyear),(crserr)
0,0,2017.64,0.3987
0.5,9.8055,2007.84,1.12
1.5,33.2147,1984.43,2.8878
2.5,52.2092,1965.43,5.2363
3.5,71.5773,1946.07,9.3525
4.5,90.5741,1927.07,15.8647
5.5,106.1031,1911.54,24.8096
6.5,137.0985,1880.54,61.9323
8.5,210.4702,1807.17,485.5684
10.5,231.4987,1786.14,683.8058
12.5,,,
14.5,,,
16.5,,,
